Processed_Month,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total_Votes,Average_Rating,Popularity_Index
3/1/2021,0,0,0,0,0,22,2.818181818,0.22
6/1/2021,8,2,3,4,5,246,3.558441558,1.18
9/1/2021,54,21,20,54,75,1247,3.855878635,2.39
12/1/2021,205,30,74,186,528,2304,3.857442348,2.72
3/1/2022,196,57,105,259,664,2382,3.730693069,2.47
6/1/2022,203,58,79,176,585,1705,3.29468599,1.85
9/1/2022,159,43,48,102,252,1071,3.290836653,1.47
12/1/2022,127,26,29,89,196,589,3.219178082,1.55
3/1/2023,35,8,6,12,61,191,2.787878788,0.69
