Processed_Month,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total_Votes,Average_Rating,Popularity_Index
3/1/2021,0,0,0,0,0,22,2.818181818,0.22
7/1/2021,8,2,3,4,5,530,3.201754386,2.11
11/1/2021,105,29,23,117,234,3469,3.906716418,2.82
3/1/2022,494,100,267,649,1451,5343,3.730693069,2.72
7/1/2022,399,115,184,435,1249,3689,3.180672269,2.11
11/1/2022,323,82,99,196,607,1981,3.816326531,1.38
3/1/2023,191,47,35,92,309,865,2.787878788,1.06
