Processed_Date,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total Votes,Average Rating,Color,Popularity_Index,1,2,3,4,5,6
2021-01-09,0.0,0.0,0.0,0.0,0.0,71.0,4.45,1,3.86,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,5.0,2.0,2.0,9.0,53.0,1208.0,4.67,1,6.4,5.0,2.0,2.0,9.0,53.0,71.0
2022-01-03,24.0,8.0,35.0,175.0,895.0,1333.0,4.68,1,6.49,24.0,8.0,35.0,175.0,895.0,1137.0
2022-01-06,7.0,2.0,7.0,18.0,162.0,302.0,4.67,1,5.34,7.0,2.0,7.0,18.0,162.0,196.0
2022-01-09,5.0,1.0,0.0,12.0,88.0,183.0,4.66,1,5.98,5.0,1.0,0.0,12.0,88.0,106.0
