Processed_Date,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total Votes,Average Rating,Color,Popularity_Index,1,2,3,4,5,6
2021-01-09,0.0,0.0,0.0,0.0,0.0,71.0,4.45,1,3.86,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,40.0,15.0,54.0,206.0,1741.0,2819.0,4.62,1,6.64,40.0,15.0,54.0,206.0,1741.0,2056.0
2022-01-01,12.0,4.0,13.0,61.0,284.0,763.0,4.68,1,5.38,12.0,4.0,13.0,61.0,284.0,374.0
2022-01-03,4.0,1.0,5.0,8.0,92.0,196.0,4.65,1,5.34,4.0,1.0,5.0,8.0,92.0,110.0
2022-01-05,0.0,3.0,1.0,5.0,36.0,118.0,4.7,1,5.08,0.0,3.0,1.0,5.0,36.0,45.0
2022-01-07,2.0,1.0,0.0,2.0,28.0,100.0,4.64,1,4.71,2.0,1.0,0.0,2.0,28.0,33.0
2022-01-09,3.0,0.0,3.0,9.0,57.0,77.0,5.0,1,5.23,3.0,0.0,3.0,9.0,57.0,72.0
